tst,num,den,test_1_0,test_1_1,test_1_2,test_1_3,test_1_4,test_1_5,test_1_7,test_1_8,test_1_9,test_2_0,test_2_1,test_2_2,test_2_3,test_2_4,test_2_5,test_2_7,test_2_8,test_2_9
test_1_0,13.5937,"[1, 13.531928596373566]",9.4468,2.9496,6.5333,2.8528,3.0369,5.7586,11.4578,2.5189,5.6333,20.5818,21.0332,23.4784,7.8855,42.4543,45.0065,40.5514,3.1696,51.5776
test_1_1,13.6350,"[1, 13.57314002337246]",9.5036,2.9555,6.5188,2.8638,3.0361,5.7619,11.4954,2.5122,5.6357,20.7181,21.1505,23.6076,7.9074,42.7140,45.2543,40.7695,3.1762,51.8466
test_1_2,13.6773,"[1, 13.615492361286067]",9.5620,2.9616,6.5037,2.8752,3.0351,5.7651,11.5336,2.5054,5.6380,20.8579,21.2705,23.7396,7.9299,42.9796,45.5078,40.9925,3.1828,52.1214
test_1_3,13.6773,"[1, 13.615492361286067]",9.5620,2.9616,6.5037,2.8752,3.0351,5.7651,11.5336,2.5054,5.6380,20.8579,21.2705,23.7396,7.9299,42.9796,45.5078,40.9925,3.1828,52.1214
test_1_4,13.6575,"[1, 13.59558008934446]",9.5350,2.9589,6.5112,2.8701,3.0358,5.7641,11.5162,2.5088,5.6373,20.7927,21.2146,23.6784,7.9198,42.8559,45.3896,40.8888,3.1800,51.9938
test_1_5,9.6021,"[1, 9.800382970473567]",6.4247,3.6430,7.7215,2.6447,2.9075,5.5490,7.5404,3.6937,5.5684,10.2033,10.6576,12.1589,8.0241,17.7787,22.3529,19.9285,3.1267,25.1456
test_1_6,9.5340,"[1, 9.729403874102873]",6.4927,3.7218,7.8049,2.6920,2.9394,5.6252,7.5408,3.7595,5.6414,10.1343,10.5529,12.0880,8.1626,17.4501,22.0703,19.6965,3.1864,24.8481
test_1_7,9.5714,"[1, 9.767392226544075]",6.4581,3.6805,7.7645,2.6675,2.9248,5.5888,7.5454,3.7256,5.6061,10.1724,10.6108,12.1311,8.0911,17.6318,22.2266,19.8276,3.1562,25.0190
test_1_8,9.4913,"[1, 9.685487916275433]",6.5359,3.7713,7.8546,2.7216,2.9580,5.6707,7.5390,3.8001,5.6853,10.0933,10.4887,12.0432,8.2492,17.2454,21.8948,19.5512,3.2232,24.6598
test_1_9,9.5979,"[1, 9.794281882668002]",6.4345,3.6518,7.7360,2.6505,2.9146,5.5633,7.5490,3.7018,5.5815,10.2003,10.6524,12.1624,8.0414,17.7612,22.3382,19.9213,3.1352,25.1408
test_1_10,7.2582,"[1, 7.411925099779457]",12.4966,8.3109,11.3355,5.6060,4.4744,9.6217,8.8624,7.0464,9.5686,12.1142,10.2979,13.6788,16.8660,10.5553,17.0951,16.5324,6.6851,19.8630
test_1_11,7.3321,"[1, 7.412035981501538]",12.5487,8.3728,11.7555,5.6723,4.7175,10.0357,9.2835,7.1680,9.9220,12.0391,10.2920,13.9850,17.0365,10.7406,17.2440,16.8679,6.8567,20.6252
test_1_12,7.3468,"[1, 7.503712391614152]",12.0682,8.0259,11.1396,5.4218,4.3779,9.3702,8.7208,6.8542,9.3187,11.8226,10.1301,13.3902,16.3012,10.5992,17.0503,16.3894,6.4612,19.7572
test_1_13,7.3481,"[1, 7.505203217517134]",12.0614,8.0212,11.1352,5.4187,4.3756,9.3650,8.7173,6.8508,9.3137,11.8184,10.1277,13.3849,16.2918,10.5996,17.0494,16.3864,6.4572,19.7535
test_1_14,7.3195,"[1, 7.399152646590706]",12.6092,8.4133,11.7829,5.6984,4.7310,10.0710,9.3032,7.1951,9.9572,12.0805,10.3156,14.0255,17.1165,10.7336,17.2498,16.8874,6.8885,20.6392
test_1_15,5.0101,"[1, 5.098528676760518]",32.2408,20.7021,18.3418,13.4876,8.5385,20.2242,16.9962,14.9450,20.4886,29.9964,25.3774,33.5082,42.3633,22.3641,31.0053,35.8918,16.7544,38.7802
test_1_16,5.0243,"[1, 5.111882904239171]",32.0569,20.5892,18.2944,13.4171,8.5062,20.1364,16.9171,14.8768,20.3938,29.8064,25.1904,33.2873,42.1261,22.1828,30.8184,35.6421,16.6623,38.5437
test_1_17,5.0336,"[1, 5.12286055530122]",31.9154,20.4989,18.2392,13.3602,8.4705,20.0509,16.8405,14.8182,20.3056,29.6674,25.0550,33.1119,41.9354,22.0520,30.6805,35.4500,16.5831,38.3436
test_1_18,5.0215,"[1, 5.109880652473231]",32.0868,20.6066,18.2971,13.4279,8.5085,20.1459,16.9257,14.8862,20.4051,29.8392,25.2230,33.3216,42.1624,22.2144,30.8502,35.6825,16.6750,38.5771
test_1_19,5.0059,"[1, 5.094684455752727]",32.2948,20.7349,18.3539,13.5080,8.5469,20.2482,17.0180,14.9644,20.5150,30.0529,25.4332,33.5727,42.4321,22.4182,31.0609,35.9652,16.7806,38.8481
test_2_0,7.3330,"[1, 7.731815271661544]",11.2392,7.4109,9.5967,5.1453,3.5677,7.9028,7.4407,6.1784,7.9580,11.7097,10.3329,12.3877,14.8462,10.7450,16.9038,15.6674,5.8794,17.9251
test_2_1,7.3183,"[1, 7.716037468340977]",11.3070,7.4559,9.6288,5.1742,3.5831,7.9429,7.4629,6.2090,7.9978,11.7538,10.3569,12.4314,14.9354,10.7347,16.9076,15.6869,5.9141,17.9383
test_2_2,7.3345,"[1, 7.733360475557163]",11.2324,7.4064,9.5938,5.1424,3.5663,7.8990,7.4387,6.1754,7.9543,11.7052,10.3303,12.3834,14.8375,10.7459,16.9034,15.6655,5.8759,17.9242
test_2_3,7.3516,"[1, 7.75183373217147]",11.1539,7.3543,9.5561,5.1090,3.5483,7.8523,7.4128,6.1397,7.9078,11.6547,10.3032,12.3331,14.7340,10.7590,16.9000,15.6437,5.8357,17.9096
test_2_4,7.3376,"[1, 7.7368989370215715]",11.2175,7.3965,9.5861,5.1362,3.5626,7.8898,7.4334,6.1685,7.9451,11.6959,10.3255,12.3737,14.8177,10.7485,16.9028,15.6613,5.8683,17.9208
test_2_5,9.4645,"[1, 10.075065531484347]",5.7354,3.2099,5.9462,2.5448,1.9879,3.9767,5.9886,3.0640,4.1045,10.2459,10.9398,11.0066,6.8011,17.3401,21.7445,18.6986,2.7391,22.3871
test_2_6,9.5083,"[1, 10.122469658724475]",5.6932,3.1617,5.8951,2.5166,1.9691,3.9313,5.9898,3.0236,4.0604,10.2899,11.0056,11.0526,6.7163,17.5430,21.9200,18.8428,2.7043,22.5738
test_2_7,9.4380,"[1, 10.045908171382841]",5.7622,3.2399,5.9790,2.5621,2.0002,4.0058,5.9892,3.0894,4.1328,10.2196,10.8994,10.9798,6.8545,17.2169,21.6385,18.6120,2.7605,22.2762
test_2_8,9.4428,"[1, 9.908085105930073]",5.9210,3.3541,6.5597,2.5149,2.2786,4.4581,6.4042,3.2922,4.5705,10.0531,10.5623,11.1304,7.2173,16.9761,21.5404,18.6820,2.7851,22.7890
test_2_9,9.4045,"[1, 9.868154084538892]",5.9606,3.3978,6.6016,2.5416,2.2939,4.4966,6.4014,3.3276,4.6079,10.0193,10.5088,11.0921,7.2937,16.8005,21.3890,18.5569,2.8174,22.6239
test_2_10,13.4262,"[1, 14.533189360263142]",7.2983,1.7954,2.8008,2.2598,1.0668,2.2545,7.8211,1.1127,2.3618,19.6371,20.2694,19.8723,4.8519,39.1480,41.8462,35.9690,2.0081,43.6290
test_2_11,13.4052,"[1, 14.510586700392151]",7.2727,1.7930,2.8076,2.2552,1.0671,2.2530,7.8037,1.1160,2.3609,19.5746,20.2167,19.8131,4.8423,39.0304,41.7330,35.8699,2.0054,43.5062
test_2_12,13.3831,"[1, 14.486048071503253]",7.2459,1.7903,2.8164,2.2495,1.0682,2.2523,7.7866,1.1199,2.3609,19.5080,20.1594,19.7508,4.8328,38.9062,41.6141,35.7660,2.0017,43.3792
test_2_13,13.3525,"[1, 14.142876847150687]",7.2799,1.7929,3.5588,2.0025,1.3987,2.7142,8.2767,1.3167,2.8444,19.1169,19.5234,19.7631,5.0908,38.6296,41.5202,35.8363,1.7983,44.1181
test_2_14,13.5382,"[1, 14.654265585326446]",7.4363,1.8094,2.7644,2.2859,1.0650,2.2630,7.9131,1.0957,2.3670,19.9719,20.5522,20.1887,4.9042,39.7744,42.4490,36.4964,2.0242,44.2810
test_2_15,12.0084,"[1, 13.897477039887933]",7.3124,2.8504,2.0552,4.2576,0.8116,2.5331,6.6980,1.5092,2.3103,18.2759,21.1232,18.6192,5.5364,34.7171,36.3954,31.9773,4.4137,36.4212
test_2_16,13.3384,"[1, 15.09583967300936]",7.8797,2.3347,1.8179,3.4753,0.7443,2.1546,7.4441,1.0850,2.0674,20.7702,22.4164,20.7785,5.2186,40.1931,42.1626,36.5477,3.3624,42.8875
test_2_17,13.4906,"[1, 15.269286806825436]",8.0607,2.3549,1.7689,3.5120,0.7418,2.1666,7.5629,1.0631,2.0740,21.2074,22.7848,21.1910,5.2887,40.9989,42.9401,37.2272,3.3872,43.7242
test_2_18,13.5133,"[1, 15.295502941758787]",8.0888,2.3587,1.7614,3.5187,0.7414,2.1689,7.5807,1.0602,2.0753,21.2737,22.8415,21.2537,5.3002,41.1200,43.0565,37.3294,3.3923,43.8491
test_2_19,13.2983,"[1, 15.050360053369152]",7.8333,2.3302,1.8310,3.4666,0.7451,2.1521,7.4131,1.0912,2.0662,20.6561,22.3205,20.6709,5.2014,39.9811,41.9580,36.3691,3.3570,42.6669
test_2_20,9.5185,"[1, 10.588664448922009]",5.9020,3.2823,4.5216,3.3083,1.4223,3.2869,5.3831,2.6913,3.3183,11.5018,13.1371,11.8007,6.4033,19.5033,23.1024,19.9286,3.4723,22.5303
test_2_21,9.4747,"[1, 10.53860391830217]",5.9371,3.3253,4.5704,3.3316,1.4395,3.3274,5.3793,2.7287,3.3584,11.4513,13.0663,11.7484,6.4788,19.3013,22.9261,19.7823,3.5007,22.3423
test_2_22,9.6268,"[1, 10.710575392116935]",5.8208,3.1789,4.4073,3.2490,1.3824,3.1911,5.3960,2.6020,3.2242,11.6288,13.3069,11.9320,6.2246,19.9990,23.5390,20.2908,3.4004,22.9998
test_2_23,9.5340,"[1, 10.604686647659584]",5.8875,3.2657,4.5081,3.2958,1.4174,3.2732,5.3851,2.6786,3.3054,11.5143,13.1524,11.8141,6.3761,19.5655,23.1590,19.9739,3.4576,22.5938
test_2_24,9.5505,"[1, 10.624164361753698]",5.8759,3.2505,4.4887,3.2888,1.4107,3.2581,5.3866,2.6646,3.2903,11.5362,13.1831,11.8366,6.3488,19.6457,23.2284,20.0323,3.4489,22.6667
test_2_25,7.3593,"[1, 8.294039063284442]",10.9904,7.1959,7.3347,6.1453,2.6254,6.6264,6.3657,5.4267,6.5328,12.9880,13.3472,13.0949,13.5504,13.8797,18.5442,17.1430,6.7475,17.6636
test_2_26,7.3128,"[1, 8.240792440106423]",11.1844,7.3238,7.4284,6.2272,2.6683,6.7392,6.4245,5.5146,6.6453,13.1041,13.4042,13.2076,13.8029,13.8327,18.5365,17.1801,6.8430,17.6755
test_2_27,7.3891,"[1, 8.328327175972458]",10.8692,7.1156,7.2749,6.0946,2.5982,6.5555,6.3292,5.3712,6.4620,12.9175,13.3149,13.0268,13.3919,13.9147,18.5534,17.1243,6.6883,17.6607
test_2_28,7.3600,"[1, 8.294531626745183]",10.9873,7.1938,7.3341,6.1432,2.6250,6.6249,6.3649,5.4256,6.5315,12.9853,13.3443,13.0922,13.5468,13.8782,18.5430,17.1410,6.7451,17.6626
test_2_29,7.3961,"[1, 8.336246696152989]",10.8410,7.0969,7.2613,6.0825,2.5920,6.5391,6.3208,5.3583,6.4456,12.9009,13.3068,13.0108,13.3551,13.9225,18.5555,17.1197,6.6742,17.6601

