,test_no,num,den,mse_1_0,mse_1_1,mse_1_2,mse_1_3,mse_1_4,mse_1_5,mse_1_7,mse_1_8,mse_1_9,mse_2_0,mse_2_1,mse_2_2,mse_2_3,mse_2_8,avg_mse
0,test_1_0,13.593656082712826,"[1, 13.531928596373566]",9.446791519966858,2.9495804089077677,6.533314502011099,2.852762455507972,3.036915849682694,5.758566237775043,11.457848147139543,2.518855539974064,5.63330303356016,20.58180574845608,21.033161515374815,23.478423929278573,7.885455223076378,3.169636664418749,9.024030055366413
1,test_1_1,13.63497740173834,"[1, 13.57314002337246]",9.503642249330738,2.955478710207669,6.518789947417513,2.863832736958001,3.036110063922206,5.761918314127856,11.495449396511743,2.512216285559191,5.635722516691638,20.71810417981603,21.15046243696671,23.607563137012004,7.907377165638286,3.176199677212105,9.060204772669406
2,test_1_2,13.677346049927282,"[1, 13.615492361286067]",9.561998440762308,2.961564803394689,6.503658266383418,2.875160656849608,3.035120174165127,5.765092432981732,11.53365048797635,2.505377023447219,5.637973399349529,20.857929737958976,21.27046471975131,23.73961125099622,7.929850142728714,3.182810136626409,9.097161548097972
3,test_1_3,13.677346049927282,"[1, 13.615492361286067]",9.561998440762308,2.961564803394689,6.503658266383418,2.875160656849608,3.035120174165127,5.765092432981732,11.53365048797635,2.505377023447219,5.637973399349529,20.857929737958976,21.27046471975131,23.73961125099622,7.929850142728714,3.182810136626409,9.097161548097972
4,test_1_4,13.657522829422884,"[1, 13.59558008934446]",9.535005624433763,2.958914365025671,6.511151122259843,2.870061754449208,3.035824425651497,5.7640799198023664,11.51623973885098,2.508760673741922,5.637338898443364,20.792697450108957,21.214638131971856,23.678394380902017,7.919756878894856,3.180019436954361,9.080205914392192
5,test_1_5,9.602071271995936,"[1, 9.800382970473567]",6.424715439307835,3.642980834839152,7.721463697241834,2.644718049092363,2.907543256957926,5.549045763909103,7.540417434037653,3.693678223511832,5.568392753611106,10.203308525990815,10.657588235015822,12.158930788800912,8.02410080862408,3.126678674140932,6.418825891791526
6,test_1_6,9.533984654998845,"[1, 9.729403874102873]",6.492684714300387,3.721846496281944,7.804860106815255,2.69200127815321,2.93941871246159,5.625179924445272,7.540790147022185,3.75945855432458,5.641406980690881,10.134318058984883,10.552930829421024,12.087957202152005,8.162616903836282,3.186351138506577,6.452987217671148
7,test_1_7,9.571410097046424,"[1, 9.767392226544075]",6.45807298493329,3.680546647562782,7.764453264070514,2.667510030211357,2.924823146059969,5.588751402936924,7.54544615362289,3.725563330257769,5.606144342212176,10.17238738483156,10.610823182471856,12.131092503619826,8.091061389206178,3.156169825978057,6.437346113426796
8,test_1_8,9.491271031993586,"[1, 9.685487916275433]",6.535926876834472,3.771291409204042,7.854603267819876,2.721614929259113,2.958046090496612,5.670746605638037,7.53899646401299,3.800085727531901,5.685318408621511,10.09333723487784,10.488676743333826,12.043198121907013,8.249231288277787,3.223170911799812,6.473874577115345
9,test_1_9,9.59788778742118,"[1, 9.794281882668002]",6.434454251293517,3.651778217749018,7.736049294175395,2.650502147751567,2.914601968955246,5.5633122425064325,7.549016806627311,3.701834348323631,5.581528745881217,10.20029051698654,10.652435882020365,12.162449870867135,8.04135749327308,3.135157972785801,6.426769268514019
10,test_1_10,7.25819280176538,"[1, 7.411925099779457]",12.496634756350185,8.310902022044269,11.335527932735644,5.606005300242947,4.474394029289867,9.621728721309118,8.862432987687583,7.046408480665911,9.568630324581903,12.114170479114946,10.297932052390015,13.678793162859538,16.865987543072556,6.685087093884865,9.78318820615924
11,test_1_11,7.332123797367314,"[1, 7.412035981501538]",12.548695097400344,8.372836390560604,11.755492824601149,5.672292020027098,4.717462124266409,10.035680845857485,9.28351349778525,7.16795597479135,9.922048496924049,12.039150072104064,10.291999221851892,13.985032670388826,17.036522317573468,6.856746913847183,9.977530604855655
12,test_1_12,7.346850129160832,"[1, 7.503712391614152]",12.068242753543029,8.025855487087373,11.13960654782688,5.42179029763579,4.377885925685467,9.37015909270978,8.72075370814242,6.85421216177005,9.318655094265072,11.8226448349952,10.130138368907506,13.390189872008026,16.301248530690973,6.46116120113083,9.528753134028454
13,test_1_13,7.348060051128825,"[1, 7.505203217517134]",12.06135983991864,8.02118208577755,11.13522228688334,5.41873967948123,4.375636949332948,9.36496812028988,8.717308312422217,6.850804317235397,9.3136584680323,11.818393529346988,10.127722300903786,13.384891109777236,16.291831063786898,6.457184011392811,9.524207291041517
14,test_1_14,7.319480988420362,"[1, 7.399152646590706]",12.609212596301951,8.413256247210333,11.782851030252656,5.69839411752554,4.730961434252382,10.07101709852261,9.303166527451973,7.195133114552958,9.957188712147216,12.08048708199426,10.315630391711435,14.025498700712296,17.11650000530639,6.888510363649695,10.013414815827977
15,test_1_15,5.01013423308832,"[1, 5.098528676760518]",32.240813170146986,20.70208822973621,18.341755177208604,13.487595991633222,8.538473664820984,20.224178252765714,16.996219611415977,14.944974448401563,20.48863678831845,29.99638814640345,25.377420510478498,33.50820668523598,42.36325303672936,16.754353276339273,22.42602549925959
16,test_1_16,5.024253795172959,"[1, 5.111882904239171]",32.05686656396701,20.5892376271742,18.29435694276649,13.417142512814175,8.506223187345167,20.13641749325417,16.91709818322154,14.876810355147777,20.393833022564063,29.80637806547727,25.190426473177208,33.287268628388205,42.12606242439677,16.662261748899606,22.30431308775669
17,test_1_17,5.033586696759698,"[1, 5.12286055530122]",31.9154139859563,20.49893200485209,18.239200846125755,13.360209419912614,8.470538147688885,20.05094342298879,16.8405121697457,14.81817569745356,20.305626178220702,29.667392207342303,25.055032040287124,33.111908123024854,41.93540498290316,16.583117016811293,22.2037433030938
18,test_1_18,5.021527224967941,"[1, 5.109880652473231]",32.08680023451102,20.60664692969204,18.297062070703173,13.427863042397457,8.508538524847976,20.14585737187382,16.92569274718498,14.886230016640283,20.405130285842,29.83915956469838,25.222958972275464,33.32160509101269,42.16240591093576,16.674984700197996,22.322209675915214
19,test_1_19,5.005852722672933,"[1, 5.094684455752727]",32.29484395619142,20.73489779917863,18.3538758085506,13.5080303049834,8.546906303417002,20.24823723359598,17.017979293991935,14.96439814813559,20.51502445517133,30.05290722791161,25.433235833546107,33.57265947612261,42.43213870672636,16.780615939249532,22.461125034769434
20,test_2_0,7.332982700984136,"[1, 7.731815271661544]",11.239159771033531,7.410887720327296,9.596695773548964,5.14530052395765,3.5677246854760982,7.90280070413849,7.440671244917586,6.17835980935491,7.957998013754948,11.70968836268728,10.33288841014938,12.387669558340306,14.84623521605184,5.879359054020952,8.685388489125659
21,test_2_1,7.318326642609151,"[1, 7.716037468340977]",11.306998095302466,7.455873228338053,9.62876156966492,5.17418554212015,3.583142003499815,7.942858654392969,7.462862213049167,6.208996668496437,7.997818962693481,11.753760444430158,10.356949392813526,12.43140633318376,14.93538607634378,5.914084430646961,8.725220258212547
22,test_2_2,7.3344796197763,"[1, 7.733360475557163]",11.23242632835417,7.406432670034337,9.593804564650418,5.142368495006155,3.566341707823482,7.899043383138089,7.438694810458128,6.175396390413556,7.954253232599569,11.705189979466876,10.330295135467948,12.383390578759805,14.837489453872156,5.875893722660601,8.681501460907521
23,test_2_3,7.351558785110155,"[1, 7.75183373217147]",11.153890410973696,7.354251242615908,9.556137592522337,5.108957892743053,3.548259106317734,7.852286849423314,7.412807927480074,6.139728016275455,7.90780155833784,11.654700665424825,10.303202473279049,12.333115600400536,14.734035972113428,5.83566571816488,8.635345787576581
24,test_2_4,7.337637359413274,"[1, 7.7368989370215715]",11.217545194605885,7.396526868593479,9.586128779830023,5.1361581264503045,3.562643195338475,7.889779821152429,7.43337137006694,6.168494868523887,7.945067695041458,11.695851314548358,10.325539516401015,12.373748355671935,14.817696646273198,5.868305849309598,8.672632685843356
25,test_2_5,9.464521397629902,"[1, 10.075065531484347]",5.735367871701552,3.209863521918131,5.946155268366511,2.544836931333816,1.987899659273395,3.976695631539201,5.988553555322574,3.064022989810546,4.104520943734674,10.24592420429259,10.939777497986505,11.006597175390228,6.801132534898653,2.739119231997067,5.592176215540389
26,test_2_6,9.508273686717214,"[1, 10.122469658724475]",5.693209164439899,3.161666300270315,5.895097900914628,2.51657647620433,1.969057264993298,3.931338158974509,5.989789455897478,3.023633806785682,4.060435057718091,10.289937998032748,11.005571045748132,11.052585548679188,6.71633339117786,2.704349643227236,5.572112943790242
27,test_2_7,9.437985269485756,"[1, 10.045908171382841]",5.76224967825946,3.23985741256225,5.97898875192357,2.562077569511201,2.000217204224513,4.005790466395442,5.989212348004838,3.089356654979549,4.132825040152218,10.219647234241943,10.899358881651985,10.97982863885846,6.854528838557267,2.760507888669474,5.605317614856584
28,test_2_8,9.442812432524857,"[1, 9.908085105930073]",5.921044946467391,3.354064207837402,6.559660078197788,2.51488106285033,2.2786106393467582,4.45805778468542,6.4042159287773135,3.292231778112591,4.5705074540297055,10.053070805848227,10.562313681062,11.130385735497756,7.217267667530563,2.785107116171646,5.792958491886778
29,test_2_9,9.404461912038744,"[1, 9.868154084538892]",5.960616076455205,3.397845479870972,6.601568550121308,2.541575423393756,2.2938948777507813,4.496629784597987,6.401437321338646,3.327627635858237,4.60793287417928,10.01931439244723,10.508837729835667,11.0920712050115,7.293678749393702,2.817393874829695,5.81145885536314
30,test_2_10,13.426199548115182,"[1, 14.533189360263142]",7.298317490400377,1.7953784830409192,2.800845556513464,2.259816328936282,1.066821431576427,2.254547113725859,7.821096169962666,1.112746537319288,2.361828762804547,19.63706738965412,20.269442376122417,19.87234013877219,4.851853018520107,2.008111617413134,6.815015172482985
31,test_2_11,13.405173176087546,"[1, 14.510586700392151]",7.272745530420551,1.792988726571493,2.807568962551665,2.2552237178877093,1.067109277191675,2.252998636641073,7.803738669954612,1.116027044025417,2.3608705178616782,19.574566502940687,20.216705388461207,19.81314441753916,4.842324511289377,2.005400684510058,6.798672327703312
32,test_2_12,13.383126345886282,"[1, 14.486048071503253]",7.2458637803042,1.7903179384338852,2.81640546064933,2.249489551528922,1.068157002391723,2.2522921631976,7.786612501646748,1.119866753986231,2.360901870572427,19.50796314874399,20.15939600208321,19.75079937097227,4.83275235156564,2.001653196118345,6.781605078013895
33,test_2_13,13.35249562515519,"[1, 14.142876847150687]",7.279918949429149,1.7928916612844792,3.558808147595505,2.002498950862822,1.398744571657452,2.714157760990232,8.276667390513575,1.316704065662577,2.844385818185045,19.11686155110285,19.52338093015684,19.7631267281831,5.09083633725714,1.798253836190415,6.891231192790798
34,test_2_14,13.538186646632148,"[1, 14.654265585326446]",7.436323216071694,1.80935494682164,2.76439622341749,2.285879822953714,1.065033282282165,2.263020565919233,7.913148041007261,1.095670768006774,2.366971729493044,19.971934392319053,20.55217416797245,20.18871686297697,4.90420936020238,2.024155579894849,6.902927782809909
35,test_2_15,12.008376531855616,"[1, 13.897477039887933]",7.312444619653524,2.850429651488375,2.055201516521737,4.25760375086498,0.8116398712094091,2.53307136758833,6.697952159380959,1.509158166343308,2.310274670553794,18.275918006905503,21.123220524136805,18.619158557915632,5.536430589908571,4.413712646582532,7.021872578503817
36,test_2_16,13.33841222063566,"[1, 15.09583967300936]",7.8797405625484,2.334658079948031,1.8179334686259967,3.47528349368315,0.7443014126506711,2.154604770348149,7.444111909938823,1.084983251353623,2.06744365135655,20.77023888096008,22.416437967535416,20.77852512894449,5.218629868232535,3.36242772016954,7.253522869021104
37,test_2_17,13.49064120429325,"[1, 15.269286806825436]",8.060722375781268,2.354885745594761,1.768873119198766,3.5119994525738782,0.74176861655167,2.166639760361027,7.562863359560199,1.063131141764364,2.074041540265514,21.20735989362564,22.784796505934924,21.191012027529847,5.2886753252568734,3.387240442566937,7.368857807611834
38,test_2_18,13.513295385818504,"[1, 15.295502941758787]",8.088771573004315,2.358692581822904,1.7613646701648702,3.518667086141547,0.7414191256384021,2.168929831681781,7.580742396807965,1.060161870542338,2.075328253425629,21.2737341715139,22.841472538987887,21.25374667419653,5.300154306009234,3.392297481992603,7.3868201829949935
39,test_2_19,13.298290760087344,"[1, 15.050360053369152]",7.833265005925693,2.330158379949738,1.831026572491111,3.466585870466271,0.7451056485011901,2.152050263046409,7.413094586667582,1.091150271815213,2.066181364642685,20.656139608061107,22.320483304774847,20.67086564137616,5.20142625607625,3.356963680400626,7.223892603871064
40,test_2_20,9.518535336946822,"[1, 10.588664448922009]",5.901951062147639,3.282328713183503,4.52155435666014,3.308253214666165,1.422285532351373,3.286890256676121,5.383083118216964,2.691276497149314,3.318313350744038,11.501843170726804,13.137135858849833,11.800735923320463,6.403270370671867,3.472256130474394,5.673655539702757
41,test_2_21,9.47470237322206,"[1, 10.53860391830217]",5.937082738518463,3.325286154909571,4.570410489372603,3.331637980090872,1.439470934854078,3.327377835961795,5.379303526141161,2.728669192873237,3.358354842913522,11.451322030985654,13.06633337911242,11.748364612509633,6.478775693886278,3.500666678443528,5.688789720755201
42,test_2_22,9.626760744963882,"[1, 10.710575392116935]",5.820787797424602,3.178858710648864,4.407345391251853,3.248973200332926,1.382383832981471,3.191061642478038,5.395996510391962,2.601952857141049,3.224209708249612,11.628819541719006,13.306903853236152,11.93204069509715,6.224641281279302,3.400410207365768,5.638884659256982
43,test_2_23,9.533984604110636,"[1, 10.604686647659584]",5.887492199642836,3.26574912503982,4.508149780968755,3.295772738785598,1.41741451002833,3.27315371966843,5.385062618345882,2.6786016230747203,3.305419974717726,11.514264154703136,13.152398034777434,11.814135801822989,6.376095804157344,3.457608699515577,5.666522770374898
44,test_2_24,9.550544529032283,"[1, 10.624164361753698]",5.87586532494518,3.250508550087598,4.4886533120072,3.288755846982103,1.41066251547328,3.258097490079547,5.386611180423294,2.66459364081462,3.290282932334139,11.536163423703686,13.183127038028555,11.836550911487258,6.348765067118277,3.448861358681898,5.661964185154759
45,test_2_25,7.359324033813003,"[1, 8.294039063284442]",10.990361395052096,7.195851813898928,7.334738352226294,6.145318011902719,2.625392106671084,6.626438998589437,6.365685990232941,5.426683360330686,6.5328489761705,12.988005472795464,13.347167882940717,13.094893072020346,13.550363562487949,6.747473529547504,8.497944466061904
46,test_2_26,7.312784102531916,"[1, 8.240792440106423]",11.184367930150191,7.323781280494879,7.42836260537039,6.22720895809106,2.668293013565565,6.739166884153037,6.424522898836369,5.514616761198293,6.645312387710096,13.104147579786886,13.404245406248304,13.207583298022202,13.802858591616268,6.842990775785963,8.608389883644964
47,test_2_27,7.389111101324451,"[1, 8.328327175972458]",10.869201227906748,7.115630620599116,7.2749425337241,6.094610926596387,2.598218382321241,6.55549499683882,6.329182042560277,5.37116144174071,6.46196975636355,12.917494221338291,13.314886286488788,13.026829491865918,13.391853559286025,6.688321461231214,8.429271210632942
48,test_2_28,7.359973419690945,"[1, 8.294531626745183]",10.987252263902215,7.193796828863089,7.33413588092592,6.143239364880701,2.624987706500796,6.624883999560192,6.364877002001239,5.425564379734955,6.5314689315270655,12.985332210723977,13.344263774269963,13.092168435257928,13.546805457376031,6.745115806133872,8.495992288689852
49,test_2_29,7.396070285978316,"[1, 8.336246696152989]",10.84102771732425,7.096939599176614,7.261302433995316,6.082520645758808,2.591986615983596,6.539053721672691,6.320778887714139,5.358317316017609,6.44560978461137,12.900945655111574,13.30683784948782,13.010831869874002,13.355127240044917,6.674246480350022,8.413251844080195
